_id,area,baths_count,building_floors,date,district,flat_floor,neighborhood,price,rooms_count,warming_type
60bd2f42b097b4e869d41eae,80 m2,2,16 Katlı,Bugün,Beylikdüzü,14. Kat,Cumhuriyet,349.000 TL,2,Kombi
60bd2f47b097b4e869d41eaf,115 m2,Eşyalı Değil,9 Katlı,Bugün,Kadıköy,6. Kat,Kozyatağı,1.325.000 TL,4,Kombi
60bd2f4ab097b4e869d41eb0,405 m2,Eşyalı Değil,3 Katlı,Dün,Beylikdüzü,3. Kat,Adnan Kahveci,4.900.000 TL,9,Kombi
60bd2f4db097b4e869d41eb1,100 m2,Eşyalı Değil,7 Katlı,Dün,Esenyurt,Kot 1,Cumhuriyet,169.999 TL,3,Kombi
60bd2f4fb097b4e869d41eb2,150 m2,Uygun,5 Katlı,3 Gün Önce,Beşiktaş,1. Kat,Bebek,11.000.000 TL,4,Merkezi
60bd2f52b097b4e869d41eb3,100 m2,Eşyalı Değil,6 Katlı,6 Gün Önce,Beşiktaş,4. Kat,Arnavutköy,3.000.000 TL,3,Kombi
60bd2f54b097b4e869d41eb4,100 m2,Eşyalı Değil,6 Katlı,21 Gün Önce,Beşiktaş,2. Kat,Arnavutköy,2.500.000 TL,2,Kombi
60bd2f56b097b4e869d41eb5,110 m2,Eşyalı Değil,4 Katlı,20 Gün Önce,Beşiktaş,Bahçe Katı,Arnavutköy,1.500.000 TL,3,Kombi
60bd2f58b097b4e869d41eb6,90 m2,Eşyalı Değil,5 Katlı,6 Gün Önce,Beşiktaş,Giriş Katı,Arnavutköy,1.100.000 TL,3,Kombi
60bd2f5bb097b4e869d41eb7,200 m2,Uygun,3 Katlı,Bugün,Bakırköy,1. Kat,Şenlikköy,7.000.000 TL,5,Kombi
60bd2f5eb097b4e869d41eb8,170 m2,Uygun,3 Katlı,Bugün,Bakırköy,Bahçe Katı,Şenlikköy,3.500.000 TL,4,Kombi
60bd2f62b097b4e869d41eb9,200 m2,Bilinmiyor,3 Katlı,Bugün,Bakırköy,1. Kat,Şenlikköy,2.900.000 TL,4,Kombi
60bd2f65b097b4e869d41eba,280 m2,Eşyalı Değil,6 Katlı,Bugün,Bakırköy,2. Kat,Şenlikköy,10.250.000 TL,6,Merkezi (Pay Ölçer)
60bd2f67b097b4e869d41ebb,145 m2,Eşyalı Değil,4 Katlı,Bugün,Beylikdüzü,4. Kat,Cumhuriyet,319.000 TL,4,Kombi
60bd2f6ab097b4e869d41ebc,105 m2,Eşyalı Değil,4 Katlı,Bugün,Beylikdüzü,Bahçe Katı,Cumhuriyet,129.000 TL,3,Kombi
60bd2f6cb097b4e869d41ebd,135 m2,Eşyalı Değil,4 Katlı,Bugün,Beylikdüzü,Kot 1,Cumhuriyet,229.000 TL,4,Kombi
60bd2f6eb097b4e869d41ebe,160 m2,Sıfır Bina,null,Bugün,Beylikdüzü,3. Kat,Cumhuriyet,306.000 TL,5,null
60bd2f71b097b4e869d41ebf,115 m2,Eşyalı Değil,4 Katlı,Bugün,Beylikdüzü,1. Kat,Cumhuriyet,269.000 TL,3,Kombi
60bd2f74b097b4e869d41ec0,145 m2,Uygun,6 Katlı,Bugün,Başakşehir,2. Kat,Bahçeşehir 2. Kısım,455.000 TL,4,Kombi
60bd2f7db097b4e869d41ec1,70 m2,Uygun,6 Katlı,Bugün,Kağıthane,Kot 1,Harmantepe,320.000 TL,3,Kombi
60bd2f7fb097b4e869d41ec2,100 m2,Uygun,5 Katlı,Bugün,Beylikdüzü,2. Kat,Cumhuriyet,195.000 TL,3,Kombi
60bd2f82b097b4e869d41ec3,145 m2,2,12 Katlı,Bugün,Beylikdüzü,6. Kat,Cumhuriyet,775.000 TL,4,Kombi
60bd2f85b097b4e869d41ec4,110 m2,Eşyalı Değil,5 Katlı,Bugün,Beylikdüzü,3. Kat,Cumhuriyet,410.000 TL,3,Kombi
60bd2f88b097b4e869d41ec5,120 m2,2,15 Katlı,Bugün,Beylikdüzü,9. Kat,Cumhuriyet,229.000 TL,3,Kombi
60bd2f8bb097b4e869d41ec6,80 m2,1,15 Katlı,Bugün,Beylikdüzü,9. Kat,Cumhuriyet,285.000 TL,2,Kombi
60bd2f8db097b4e869d41ec7,90 m2,Uygun,4 Katlı,Bugün,Beylikdüzü,Bahçe Katı,Cumhuriyet,139.000 TL,3,Kombi
60bd2f90b097b4e869d41ec8,100 m2,Uygun,5 Katlı,Bugün,Beylikdüzü,2. Kat,Yakuplu,309.000 TL,3,Kombi
60bd2f94b097b4e869d41ec9,70 m2,Uygun,5 Katlı,Bugün,Beylikdüzü,Bahçe Katı,Yakuplu,244.000 TL,2,Kombi
60bd2f96b097b4e869d41eca,100 m2,Uygun,5 Katlı,Bugün,Beylikdüzü,Bahçe Katı,Yakuplu,239.000 TL,3,Kombi
60bd2f99b097b4e869d41ecb,95 m2,Uygun,4 Katlı,Bugün,Esenyurt,2. Kat,Talatpaşa,299.900 TL,3,Kombi
60bd2f9cb097b4e869d41ecc,105 m2,Uygun,4 Katlı,Bugün,Esenyurt,3. Kat,Güzelyurt,199.900 TL,3,Kombi
60bd2f9eb097b4e869d41ecd,105 m2,Uygun,6 Katlı,Bugün,Beylikdüzü,1. Kat,Cumhuriyet,149.900 TL,3,Kombi
60bd2fa1b097b4e869d41ece,155 m2,Uygun,4 Katlı,Bugün,Esenyurt,2. Kat,Güzelyurt,200.000 TL,4,Kombi
60bd2fa4b097b4e869d41ecf,105 m2,Uygun,5 Katlı,Bugün,Beylikdüzü,5. Kat,Yakuplu,449.000 TL,3,Kombi
60bd2fa6b097b4e869d41ed0,100 m2,Uygun,5 Katlı,Bugün,Esenyurt,2. Kat,Güzelyurt,259.000 TL,3,Kombi
60bd2faab097b4e869d41ed1,50 m2,Eşyalı Değil,4 Katlı,Bugün,Üsküdar,Bahçe Katı,Bulgurlu,249.000 TL,2,Kombi
60bd2fadb097b4e869d41ed2,160 m2,Eşyalı Değil,6 Katlı,Bugün,Şişli,6. Kat,Merkez,3.500.000 TL,4,Kombi
60bd2fafb097b4e869d41ed3,105 m2,Uygun,5 Katlı,208 Gün Önce,Beylikdüzü,3. Kat,Yakuplu,399.000 TL,3,Kombi
60bd2fb8b097b4e869d41ed4,135 m2,Uygun,15 Katlı,Bugün,Esenyurt,9. Kat,Cumhuriyet,589.000 TL,3,Kombi
60bd2fbab097b4e869d41ed5,85 m2,Eşyalı Değil,12 Katlı,Bugün,Kadıköy,Bahçe Katı,Göztepe,1.430.000 TL,3,Merkezi (Pay Ölçer)
60bd2fbdb097b4e869d41ed6,250 m2,Eşyalı Değil,14 Katlı,Bugün,Kadıköy,3. Kat,Suadiye,5.350.000 TL,5,Kombi
60bd2fbfb097b4e869d41ed7,135 m2,Eşyalı Değil,6 Katlı,Bugün,Kadıköy,5. Kat,Erenköy,1.395.000 TL,4,Merkezi
60bd2fc2b097b4e869d41ed8,168 m2,Eşyalı Değil,5 Katlı,49 Gün Önce,Beşiktaş,3. Kat,Ulus,3.990.000 TL,4,Merkezi
60bd2fc4b097b4e869d41ed9,168 m2,Eşyalı Değil,5 Katlı,99 Gün Önce,Beşiktaş,5. Kat,Ulus,3.550.000 TL,4,Merkezi
60bd2fc7b097b4e869d41eda,146 m2,Uygun,5 Katlı,Dün,Maltepe,1. Kat,İdealtepe,1.350.000 TL,4,Merkezi (Pay Ölçer)
60bd2fc9b097b4e869d41edb,120 m2,Uygun,4 Katlı,Dün,Maltepe,1. Kat,Feyzullah,526.000 TL,4,Kombi
60bd2fccb097b4e869d41edc,125 m2,Eşyalı Değil,6 Katlı,Dün,Beylikdüzü,3. Kat,Adnan Kahveci,585.000 TL,3,Kombi
60bd2fcfb097b4e869d41edd,170 m2,2,11 Katlı,Dün,Beylikdüzü,9. Kat,Adnan Kahveci,765.000 TL,4,Kombi
60bd2fd1b097b4e869d41ede,105 m2,6 Katlı,null,Dün,Çekmeköy,1. Kat,Ekşioğlu,387.000 TL,3,Kombi
60bd2fd4b097b4e869d41edf,130 m2,Uygun,6 Katlı,Dün,Avcılar,Giriş Katı,Mustafa Kemal Paşa,355.000 TL,4,Kombi
60bd2fd6b097b4e869d41ee0,100 m2,Eşyalı Değil,5 Katlı,Dün,Beylikdüzü,1. Kat,Yakuplu,269.000 TL,3,Kombi
60bd2fd8b097b4e869d41ee1,100 m2,Uygun,5 Katlı,Dün,Esenyurt,Giriş Katı,Ardıçlı,139.000 TL,3,Kombi
60bd2fdab097b4e869d41ee2,100 m2,Uygun,5 Katlı,Dün,Beylikdüzü,Yüksek Giriş,Cumhuriyet,149.900 TL,3,Kombi
60bd2fdcb097b4e869d41ee3,140 m2,Uygun,5 Katlı,Dün,Esenyurt,2. Kat,Mehterçeşme,435.000 TL,4,Kombi
60bd2fdfb097b4e869d41ee4,100 m2,Uygun,6 Katlı,17 Gün Önce,Beylikdüzü,4. Kat,Cumhuriyet,259.000 TL,3,Kombi
60bd2fe1b097b4e869d41ee5,350 m2,Kombi,null,Dün,Avcılar,4. Kat,Merkez,1.109.000 TL,7,null
60bd2fe3b097b4e869d41ee6,150 m2,Eşyalı Değil,5 Katlı,5 Gün Önce,Kağıthane,1. Kat,Sultan Selim,625.000 TL,4,Kombi
60bd2febb097b4e869d41ee7,225 m2,Kombi,null,Dün,Esenyurt,3. Kat,Güzelyurt,725.000 TL,6,null
60bd2fedb097b4e869d41ee8,90 m2,Merkezi (Pay Ölçer),null,Dün,Başakşehir,5. Kat,Bahçeşehir 2. Kısım,359.000 TL,2,null
60bd2fefb097b4e869d41ee9,230 m2,Uygun,4 Katlı,Dün,Maltepe,4. Kat,İdealtepe,1.675.000 TL,5,Kombi
60bd2ff7b097b4e869d41eea,75 m2,Eşyalı Değil,4 Katlı,Dün,Maltepe,Giriş Katı,Küçükyalı,550.000 TL,2,Kombi
60bd2ffab097b4e869d41eeb,220 m2,Uygun,5 Katlı,Dün,Maltepe,5. Kat,İdealtepe,1.780.000 TL,6,Kombi
60bd2ffdb097b4e869d41eec,66 m2,Uygun,4 Katlı,Dün,Maltepe,Giriş Katı,İdealtepe,385.000 TL,2,Kombi
60bd2fffb097b4e869d41eed,265 m2,Uygun,4 Katlı,Dün,Maltepe,4. Kat,İdealtepe,2.320.000 TL,7,Kombi
60bd3001b097b4e869d41eee,115 m2,Uygun,4 Katlı,Dün,Maltepe,4. Kat,Altıntepe,750.000 TL,3,Kombi
60bd3004b097b4e869d41eef,115 m2,Uygun,4 Katlı,9 Gün Önce,Esenyurt,Yüksek Giriş,Üçevler,284.000 TL,3,Kombi
60bd3007b097b4e869d41ef0,100 m2,Uygun,4 Katlı,Dün,Esenyurt,Bahçe Katı,Atatürk,145.000 TL,3,Kombi
60bd300db097b4e869d41ef1,110 m2,Uygun,4 Katlı,Dün,Esenyurt,2. Kat,Balıkyolu,309.000 TL,3,Kombi
60bd3010b097b4e869d41ef2,100 m2,Uygun,4 Katlı,Dün,Esenyurt,Bahçe Katı,Akşemseddin,167.000 TL,3,Kombi
60bd3013b097b4e869d41ef3,90 m2,Uygun,6 Katlı,Dün,Avcılar,2. Kat,Mustafa Kemal Paşa,194.000 TL,3,Kombi
60bd3015b097b4e869d41ef4,100 m2,Uygun,4 Katlı,Dün,Esenyurt,Bahçe Katı,Üçevler,158.500 TL,3,Kombi
60bd3017b097b4e869d41ef5,90 m2,Uygun,4 Katlı,Dün,Beylikdüzü,Bahçe Katı,Yakuplu,199.000 TL,3,Kombi
60bd3019b097b4e869d41ef6,200 m2,Uygun,5 Katlı,Dün,Beylikdüzü,Çatı Katı,Yakuplu,585.000 TL,6,Kombi
60bd301cb097b4e869d41ef7,145 m2,Uygun,5 Katlı,Dün,Esenyurt,2. Kat,Güzelyurt,399.000 TL,4,Kombi
60bd301eb097b4e869d41ef8,120 m2,5 Katlı,null,Dün,Esenyurt,3. Kat,Güzelyurt,399.000 TL,3,Kombi
60bd3020b097b4e869d41ef9,105 m2,Uygun değil,31 Katlı,Dün,Başakşehir,5. Kat,Bahçeşehir 2. Kısım,449.000 TL,3,Merkezi (Pay Ölçer)
60bd3029b097b4e869d41efa,186 m2,Eşyalı Değil,3 Katlı,2 Gün Önce,Beylikdüzü,2. Kat,Adnan Kahveci,1.350.000 TL,4,Kombi
60bd302bb097b4e869d41efb,160 m2,Uygun,4 Katlı,Dün,Esenyurt,3. Kat,Cumhuriyet,680.000 TL,5,Kombi
60bd302db097b4e869d41efc,135 m2,Uygun,5 Katlı,Dün,Beylikdüzü,Bodrum ve Zemin,Cumhuriyet,132.500 TL,4,Kombi
